ean,categoria,nome_base,motivo
9002490235192,energetico,Red Bull A?a? 250ml,Nao retornou resultado em PT.ProductSearch nem FarmaIndex
7506339394603,absorvente,Always noturno suave com abas 8 unidades,Nao retornou resultado em PT.ProductSearch nem FarmaIndex
07891010503024,absorvente,Sempre Livre Adapt Suave com Abas 8 unidades,Nao retornou resultado em PT.ProductSearch nem FarmaIndex
07891010579616,absorvente,Sempre Livre Adapt Plus com Abas 16 unidades,Nao retornou resultado em PT.ProductSearch nem FarmaIndex
7500435106566,fralda,Pampers Confort Sec P 28 unidades,Nao retornou resultado em PT.ProductSearch nem FarmaIndex
07500435106696,fralda,Pampers Confort Sec M 80 unidades,Nao retornou resultado em PT.ProductSearch nem FarmaIndex
07896007551316,fralda,Huggies Tripla Prote??o M 42 unidades,Nao retornou resultado em PT.ProductSearch nem FarmaIndex
7895800811214,chiclete,Trident Hortel? 8 unidades,Nao retornou resultado em PT.ProductSearch nem FarmaIndex
00000078938878,bala,Halls Menta 28g,Nao retornou resultado em PT.ProductSearch nem FarmaIndex
8718951658240,higiene_bucal,Creme dental Elmex Antic?ries Professional 110g,Nao retornou resultado em PT.ProductSearch nem FarmaIndex
04005900950925,perfumaria,Desodorante Nivea Derma Protect Clinical 150ml,Nao retornou resultado em PT.ProductSearch nem FarmaIndex
07891150081215,perfumaria,Desodorante Dove Men Aerossol 250ml,Nao retornou resultado em PT.ProductSearch nem FarmaIndex
07891150081284,perfumaria,Desodorante Rexona Invisible 250ml,Nao retornou resultado em PT.ProductSearch nem FarmaIndex
07791293032467,perfumaria,Desodorante Rexona Cotton 150ml,Nao retornou resultado em PT.ProductSearch nem FarmaIndex
