ean,categoria,nome_base,pt_nome,farma_produto,farma_apresentacao,fontes
7891058017507,medicamento,Dorflex 36 comprimidos,,Dorflex,300mg + 35mg + 50mg 36 Comprimidos,farmaindex
7891058003975,medicamento,Dorflex 16 comprimidos,,Dorflex,(600 + 70 + 100)mg 16 Comprimidos,farmaindex
7896714211275,medicamento,Ibuprofeno 400mg 10 comprimidos,,Ibuprofeno,400mg 10 Comprimidos,farmaindex
7898148295159,medicamento,Ibuprofeno 600mg 20 comprimidos,,Ibuprofeno,600mg 20 Comprimidos Revestidos,farmaindex
7896422519830,medicamento,Ibuprofeno suspens?o 20ml,,Ibuprofeno,100mg/ml Suspensão 20 ml,farmaindex
7896422507066,medicamento,Dipirona s?dica 500mg 240 comprimidos,,Dipirona Sódica,500mg 240 Comprimidos,farmaindex
7891058005726,medicamento,Dipirona s?dica 500mg 100 comprimidos,,Dipirona Sódica,500mg 100 Comprimidos,farmaindex
7899547531213,medicamento,Dipirona s?dica 500mg 30 comprimidos,,Dipirona Sodica,500mg 30 Comprimidos,farmaindex
7896714213736,medicamento,Dipirona solu??o 20ml,,Dipirona Sódica,500mg/ml Solução 20 ml,farmaindex
7896004701967,medicamento,Omeprazol 20mg 28 c?psulas,,Omeprazol,20mg 28 Cápsulas Duras de Liberação Retardada,farmaindex
7898470681156,medicamento,Omeprazol 20mg 500 c?psulas,,Omeprazol,20mg 500 Cápsulas Duras,farmaindex
7891317420024,medicamento,Omeprazol s?dico injet?vel 40mg,,Omeprazol Sódico,40mg pó + Diluente - 50 Frascos-ampola de Vidro Transparente,farmaindex
7896094921429,medicamento,Buscopan 10mg 20 comprimidos,,Buscopan,10mg 20 Comprimidos Revestidos,farmaindex
7896094921306,medicamento,Buscopan composto injet?vel,,Buscopan Composto,"(4,0 + 500,0)mg/ml Solução Injetável - 3 Ampolas de Vidro Âmbar",farmaindex
7896094928176,medicamento,Buscopan pedi?trico gotas 20ml,,Buscopan Pediátrico,10mg/ml Solução Gotas 20 ml + Seringa Dosadora,farmaindex
7896094921986,medicamento,Neosaldina 200 comprimidos,,Neosaldina,30mg + 300mg + 30mg 200 Comprimidos Revestidos,farmaindex
