descricaoProduto,ean,principioAtivo,classificacao,nomeSocial,fabricante,detalhes
Losec 10mg 14 Comprimidos Revestidos,4260747720746,Omeprazol Magnésico,Inibidores da Bomba de Prótons,Losec,Biopas Brasil Produtos Farmaceuticos Ltda,"{""ean"":""4260747720746"",""dose"":""10mg 14 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""14"",""volume"":null,""registro_ms"":""1897700010016"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Omeprazol Magnésico""],""legado"":{""produto_id"":332,""apresentacao_id"":402,""nome_normalizado"":""losec"",""tipo"":""medicamento""}}"
"Systen Conti 3,2mg + 11,2mg 8 Adesivo - 8 Envelopes de Alumínio",5060632508508,"Acetato de Noretisterona, Estradiol Hemi-hidratado",Associações de Estrógenos E Progestógenos,Systen Conti,Farma Vision Importação E Exportação de Medicamentos Ltda,"{""ean"":""5060632508508"",""dose"":""3,2mg + 11,2mg 8 Adesivo - 8 Envelopes de Alumínio"",""unidade"":""mg"",""forma_farmaceutica"":""ADESIVO"",""via_administracao"":""Transdérmica"",""quantidade"":""8"",""volume"":null,""registro_ms"":""1746500030012"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Acetato de Noretisterona"",""Estradiol Hemi-hidratado""],""legado"":{""produto_id"":574,""apresentacao_id"":722,""nome_normalizado"":""systen conti"",""tipo"":""medicamento""}}"
Azelan 200mg/g Creme 30 G,5702191025521,Ácido Azelaico,Antiacneicos Tópicos,Azelan,LEO Pharma Ltda,"{""ean"":""5702191025521"",""dose"":""200mg/g Creme 30 G"",""unidade"":""mg"",""forma_farmaceutica"":""CREME"",""via_administracao"":""Dermatológica"",""quantidade"":null,""volume"":null,""registro_ms"":""1856900120020"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Ácido Azelaico""],""legado"":{""produto_id"":384,""apresentacao_id"":476,""nome_normalizado"":""azelan"",""tipo"":""medicamento""}}"
Advantan 1mg/g Creme 15 G,5702191025583,Aceponato de Metilprednisolona,Corticoesteróides Tópicos Puros,Advantan,LEO Pharma Ltda,"{""ean"":""5702191025583"",""dose"":""1mg/g Creme 15 G"",""unidade"":""mg"",""forma_farmaceutica"":""CREME"",""via_administracao"":""Dermatológica"",""quantidade"":null,""volume"":null,""registro_ms"":""1856900100011"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Aceponato de Metilprednisolona""],""legado"":{""produto_id"":509,""apresentacao_id"":636,""nome_normalizado"":""advantan"",""tipo"":""medicamento""}}"
Icaden 10mg/g Creme 20 G,5702191025620,Nitrato de Isoconazol,Antifúngicos Dermatológicos Tópicos,Icaden,LEO Pharma Ltda,"{""ean"":""5702191025620"",""dose"":""10mg/g Creme 20 G"",""unidade"":""mg"",""forma_farmaceutica"":""CREME"",""via_administracao"":""Dermatológica"",""quantidade"":null,""volume"":null,""registro_ms"":""1856900080061"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Nitrato de Isoconazol""],""legado"":{""produto_id"":349,""apresentacao_id"":426,""nome_normalizado"":""icaden"",""tipo"":""medicamento""}}"
"Xarope 44E 1,30mg/ml + 13,30mg/ml Xarope",7590002023228,"Bromidrato de Dextrometorfano, Guaifenesina",Antitussígenos Associados,Xarope 44E,Procter & Gamble do Brasil Ltda,"{""ean"":""7590002023228"",""dose"":""1,30mg/ml + 13,30mg/ml Xarope"",""unidade"":""mg"",""forma_farmaceutica"":""XAROPE"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1214200040020"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Bromidrato de Dextrometorfano"",""Guaifenesina""],""legado"":{""produto_id"":378,""apresentacao_id"":470,""nome_normalizado"":""xarope 44e"",""tipo"":""medicamento""}}"
Imosec 2MG 12 Comprimidos,7891010256364,Cloridrato de Loperamida,Inibidores da Motilidade,Imosec,Johnson & Johnson Industrial Ltda.,"{""ean"":""7891010256364"",""dose"":""2MG 12 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""12"",""volume"":null,""registro_ms"":""1572112110031"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Loperamida""],""legado"":{""produto_id"":90,""apresentacao_id"":104,""nome_normalizado"":""imosec"",""tipo"":""medicamento""}}"
Motilium 10mg 30 Comprimidos,7891010256388,Domperidona,Gastroprocinéticos,Motilium,Johnson & Johnson Industrial Ltda.,"{""ean"":""7891010256388"",""dose"":""10mg 30 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""30"",""volume"":null,""registro_ms"":""1572112130059"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Domperidona""],""legado"":{""produto_id"":194,""apresentacao_id"":233,""nome_normalizado"":""motilium"",""tipo"":""medicamento""}}"
Mylanta Plus 80mg/ml + 80mg/ml + 6mg/ml Suspensão,7891010256425,"Hidróxido de Alumínio, Hidróxido de Magnésio, Simeticona",Antiácidos COM Antiflatulentos ou Carminativos,Mylanta Plus,Johnson & Johnson Industrial Ltda.,"{""ean"":""7891010256425"",""dose"":""80mg/ml + 80mg/ml + 6mg/ml Suspensão"",""unidade"":""mg"",""forma_farmaceutica"":""SUSPENSÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1572112150041"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Hidróxido de Alumínio"",""Hidróxido de Magnésio"",""Simeticona""],""legado"":{""produto_id"":145,""apresentacao_id"":175,""nome_normalizado"":""mylanta plus"",""tipo"":""medicamento""}}"
Mylanta Plus 80mg/ml + 80mg/ml + 6mg/ml Suspensão,7891010256432,"Hidróxido de Alumínio, Hidróxido de Magnésio, Simeticona",Antiácidos COM Antiflatulentos ou Carminativos,Mylanta Plus,Johnson & Johnson Industrial Ltda.,"{""ean"":""7891010256432"",""dose"":""80mg/ml + 80mg/ml + 6mg/ml Suspensão"",""unidade"":""mg"",""forma_farmaceutica"":""SUSPENSÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1572112150106"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Hidróxido de Alumínio"",""Hidróxido de Magnésio"",""Simeticona""],""legado"":{""produto_id"":145,""apresentacao_id"":642,""nome_normalizado"":""mylanta plus"",""tipo"":""medicamento""}}"
"Nordette (0,15 + 0,03)mg 21 Comprimidos Revestidos",7891045008433,"Etinilestradiol, Levonorgestrel",Hormônios Contraceptivos Monofásicos COM Estrogênios <50mcg,Nordette,Wyeth Indústria Farmacêutica Ltda,"{""ean"":""7891045008433"",""dose"":""(0,15 + 0,03)mg 21 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""21"",""volume"":null,""registro_ms"":""1211000010037"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Etinilestradiol"",""Levonorgestrel""],""legado"":{""produto_id"":120,""apresentacao_id"":143,""nome_normalizado"":""nordette"",""tipo"":""medicamento""}}"
Novalgina 500mg/ml Solução 20 ml,7891058000165,Dipirona Monoidratada,Analgésicos NÃO Narcóticos E Antipiréticos Isentos de Prescrição,Novalgina,Sanofi Medley Farmacêutica Ltda.,"{""ean"":""7891058000165"",""dose"":""500mg/ml Solução 20 ml"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1832603510099"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Dipirona Monoidratada""],""legado"":{""produto_id"":109,""apresentacao_id"":131,""nome_normalizado"":""novalgina"",""tipo"":""medicamento""}}"
Novalgina 500mg/ml Solução 10 ml,7891058000172,Dipirona Monoidratada,Analgésicos NÃO Narcóticos E Antipiréticos Isentos de Prescrição,Novalgina,Sanofi Medley Farmacêutica Ltda.,"{""ean"":""7891058000172"",""dose"":""500mg/ml Solução 10 ml"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1832603510102"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Dipirona Monoidratada""],""legado"":{""produto_id"":109,""apresentacao_id"":130,""nome_normalizado"":""novalgina"",""tipo"":""medicamento""}}"
Cloridrato de Amiodarona 100mg 30 Comprimidos,7891058001667,Cloridrato de Amiodarona,Antiarrítmicos Cardíacos,Cloridrato de Amiodarona,Sanofi Medley Farmacêutica Ltda.,"{""ean"":""7891058001667"",""dose"":""100mg 30 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""30"",""volume"":null,""registro_ms"":""1832602940030"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Amiodarona""],""legado"":{""produto_id"":1135,""apresentacao_id"":1458,""nome_normalizado"":""cloridrato de amiodarona"",""tipo"":""medicamento""}}"
Cloridrato de Amiodarona 200mg 30 Comprimidos,7891058001681,Cloridrato de Amiodarona,Antiarrítmicos Cardíacos,Cloridrato de Amiodarona,Sanofi Medley Farmacêutica Ltda.,"{""ean"":""7891058001681"",""dose"":""200mg 30 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""30"",""volume"":null,""registro_ms"":""1832602940049"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Amiodarona""],""legado"":{""produto_id"":1135,""apresentacao_id"":1460,""nome_normalizado"":""cloridrato de amiodarona"",""tipo"":""medicamento""}}"
Profenid 20mg/ml Solução 20 ml + Conta-gotas,7891058002008,Cetoprofeno,Antirreumáticos NÃO Esteroidais Puros,Profenid,Sanofi Medley Farmacêutica Ltda.,"{""ean"":""7891058002008"",""dose"":""20mg/ml Solução 20 ml + Conta-gotas"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1832603600063"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cetoprofeno""],""legado"":{""produto_id"":128,""apresentacao_id"":401,""nome_normalizado"":""profenid"",""tipo"":""medicamento""}}"
